"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
34,"DHCST","CA",50,"00","00",0,0,"0500000US06001","Alameda County","DHCST","CA",0,2,1510270,740596,50256,48157,46399,29672,21688,11174,11187,32084,56233,56299,57033,55945,56210,53408,45577,16493,21010,11126,13482,17050,12689,9154,8270,769674,47420,46390,44659,27683,21213,10887,10744,30901,57410,58352,58238,56256,57945,55049,49082,17974,23384,12513,15598,20683,16578,14232,16483,"DHCST","CA",0,1,514468,184186,4149,390567,11949,4190,60864,339897
35,"DHCST","CA",50,"00","00",0,0,"0500000US06003","Alpine County","DHCST","CA",0,2,1181,612,46,40,10,29,20,7,6,20,23,14,25,44,44,63,64,30,37,16,15,21,23,11,4,569,26,49,37,19,9,2,5,13,36,17,24,50,39,56,57,12,37,17,15,20,20,6,3,"DHCST","CA",0,1,831,2,226,6,0,2,40,74
36,"DHCST","CA",50,"00","00",0,0,"0500000US06005","Amador County","DHCST","CA",0,2,38095,20735,710,810,930,797,561,217,162,598,1068,1161,1290,1565,1845,1803,1727,738,973,582,715,958,633,499,393,17360,740,849,948,628,309,159,126,367,704,678,788,909,1252,1470,1658,684,1010,572,667,958,686,594,604,"DHCST","CA",0,1,30334,936,549,391,48,131,957,4749
37,"DHCST","CA",50,"00","00",0,0,"0500000US06007","Butte County","DHCST","CA",0,2,219999,108916,6241,6319,6612,4369,4785,2632,2689,6587,7814,6194,5874,5953,6693,7420,7317,2762,3885,2016,2637,3411,2647,2080,1979,111083,6160,6115,6292,4062,4638,2488,2499,5917,6896,5768,5611,5883,7156,7627,7918,2940,4034,2239,2926,3951,3241,3013,3709,"DHCST","CA",0,1,165499,3130,3448,8936,389,317,7322,30958
38,"DHCST","CA",50,"00","00",0,0,"0500000US06009","Calaveras County","DHCST","CA",0,2,45580,22808,988,1137,1433,1072,530,197,182,611,963,890,1007,1250,1704,2012,2044,847,1258,711,958,1279,827,542,366,22772,994,1090,1346,877,424,169,160,526,890,892,1008,1322,1738,2113,2215,848,1272,685,952,1229,835,576,611,"DHCST","CA",0,1,38158,344,559,511,64,67,1270,4607
39,"DHCST","CA",50,"00","00",0,0,"0500000US06011","Colusa County","DHCST","CA",0,2,21416,11020,995,913,893,622,340,158,132,407,715,671,657,694,713,708,654,255,316,169,244,284,185,168,127,10396,856,830,800,522,280,113,119,354,705,674,670,640,652,702,643,226,293,168,241,270,224,195,219,"DHCST","CA",0,1,8474,170,327,249,52,34,288,11822
40,"DHCST","CA",50,"00","00",0,0,"0500000US06013","Contra Costa County","DHCST","CA",0,2,1049025,511567,33995,36997,38052,24070,14071,6468,5903,18403,32303,31647,34248,38063,40727,38886,33316,11955,16127,8528,10664,13555,9806,7145,6638,537458,33011,35305,36377,22709,12854,6017,5475,17569,32490,33252,36249,40065,43317,41197,36103,13205,18080,9688,12403,15943,12631,10743,12775,"DHCST","CA",0,1,500876,93611,2863,148877,4399,3130,39601,255668
41,"DHCST","CA",50,"00","00",0,0,"0500000US06015","Del Norte County","DHCST","CA",0,2,28613,15905,840,815,882,606,385,222,210,694,1345,1335,1296,1191,1254,1163,997,389,515,267,348,400,357,223,171,12708,849,725,852,579,312,126,149,413,761,635,644,701,968,1085,959,344,488,285,351,506,388,297,291,"DHCST","CA",0,1,18543,969,2033,933,26,169,952,4988
42,"DHCST","CA",50,"00","00",0,0,"0500000US06017","El Dorado County","DHCST","CA",0,2,181054,90570,4863,5672,6408,4126,2405,1041,974,2879,4531,4306,4956,6005,7502,8312,7492,2758,3780,1935,2589,3133,2314,1435,1154,90484,4632,5454,6107,3904,2084,886,769,2423,4125,4256,5043,6224,8007,8521,7653,2721,3720,1942,2674,3134,2383,1860,1962,"DHCST","CA",0,1,144771,1291,1568,6141,269,327,4936,21751
43,"DHCST","CA",50,"00","00",0,0,"0500000US06019","Fresno County","DHCST","CA",0,2,930453,464732,40494,38142,38444,24732,17112,8067,7608,22992,36179,31789,29034,28606,29487,27890,23933,8556,10913,6033,7548,9656,7168,5498,4851,465721,38488,36895,36959,23362,16069,7565,7502,21579,34316,30429,28692,27947,29660,28141,24964,8844,11613,6543,8397,11317,9552,8111,8776,"DHCST","CA",0,1,304357,45018,5862,86847,1072,1747,17181,468369
