gisjoin,name_dp,var_code,dp,name_sf,sf
G06000135,Acalanes Ridge CDP,IFC001,457,Acalanes Ridge CDP,457
G06000156,Acampo CDP,IFC001,99,Acampo CDP,99
G06000212,Acton CDP,IFC001,2814,Acton CDP,2814
G06000296,Adelanto city,IFC001,9086,Adelanto city,9086
G06000310,Adin CDP,IFC001,144,Adin CDP,144
G06000394,Agoura Hills city,IFC001,7585,Agoura Hills city,7585
G06000450,Agua Dulce CDP,IFC001,1277,Agua Dulce CDP,1277
G06000464,Aguanga CDP,IFC001,984,Aguanga CDP,984
G06000478,Ahwahnee CDP,IFC001,1030,Ahwahnee CDP,1030
G06000535,Airport CDP,IFC001,588,Airport CDP,588
G06000562,Alameda city,IFC001,32351,Alameda city,32351
G06000618,Alamo CDP,IFC001,5378,Alamo CDP,5378
G06000674,Albany city,IFC001,7889,Albany city,7889
G06000716,Albion CDP,IFC001,112,Albion CDP,112
G06000786,Alderpoint CDP,IFC001,93,Alderpoint CDP,93
G06000884,Alhambra city,IFC001,30915,Alhambra city,30915
G06000898,Alhambra Valley CDP,IFC001,375,Alhambra Valley CDP,375
G06000947,Aliso Viejo city,IFC001,18867,Aliso Viejo city,18867
G06000982,Alleghany CDP,IFC001,40,Alleghany CDP,40
G06000996,Allendale CDP,IFC001,554,Allendale CDP,554
G06001010,Allensworth CDP,IFC001,142,Allensworth CDP,142
G06001094,Almanor CDP,IFC001,75,Almanor CDP,75
G06001150,Alondra Park CDP,IFC001,2818,Alondra Park CDP,2818
G06001164,Alpaugh CDP,IFC001,243,Alpaugh CDP,243
G06001192,Alpine CDP,IFC001,5536,Alpine CDP,5536
G06001228,Alpine Village CDP,IFC001,69,Alpine Village CDP,69
G06001276,Alta CDP,IFC001,314,Alta CDP,314
G06001290,Altadena CDP,IFC001,15947,Altadena CDP,15947
G06001360,Alta Sierra CDP,IFC001,3030,Alta Sierra CDP,3030
G06001416,Alto CDP,IFC001,313,Alto CDP,313
G06001444,Alturas city,IFC001,1407,Alturas city,1407
G06001458,Alum Rock CDP,IFC001,3863,Alum Rock CDP,3863
