gisjoin,name_dp,var_code,dp,name_sf,sf
G56000245,Afton town,H7V001,1930,Afton town,1911
G56000680,Albany CDP,H7V001,43,Albany CDP,55
G56000825,Albin town,H7V001,84,Albin town,181
G56001115,Alcova CDP,H7V001,67,Alcova CDP,76
G56001695,Alpine town,H7V001,747,Alpine town,828
G56001888,Alpine Northeast CDP,H7V001,201,Alpine Northeast CDP,196
G56001936,Alpine Northwest CDP,H7V001,149,Alpine Northwest CDP,244
G56001985,Alta CDP,H7V001,370,Alta CDP,394
G56002877,Antelope Hills CDP,H7V001,108,Antelope Hills CDP,97
G56002900,Antelope Valley-Crestview CDP,H7V001,1706,Antelope Valley-Crestview CDP,1658
G56003000,Arapahoe CDP,H7V001,1653,Arapahoe CDP,1656
G56003245,Arlington CDP,H7V001,14,Arlington CDP,25
G56003652,Arrowhead Springs CDP,H7V001,42,Arrowhead Springs CDP,63
G56003725,Arvada CDP,H7V001,78,Arvada CDP,43
G56004015,Atlantic City CDP,H7V001,74,Atlantic City CDP,37
G56004160,Auburn CDP,H7V001,415,Auburn CDP,328
G56004740,Baggs town,H7V001,428,Baggs town,440
G56004885,Bairoil town,H7V001,171,Bairoil town,106
G56005245,Bar Nunn town,H7V001,2078,Bar Nunn town,2213
G56005320,Basin town,H7V001,1163,Basin town,1285
G56005625,Bear River town,H7V001,530,Bear River town,518
G56006045,Bedford CDP,H7V001,131,Bedford CDP,201
G56006407,Bessemer Bend CDP,H7V001,150,Bessemer Bend CDP,199
G56006480,Beulah CDP,H7V001,52,Beulah CDP,73
G56006770,Big Horn CDP,H7V001,480,Big Horn CDP,490
G56007060,Big Piney town,H7V001,471,Big Piney town,552
G56008365,Bondurant CDP,H7V001,32,Bondurant CDP,93
G56009235,Boulder CDP,H7V001,135,Boulder CDP,170
G56009307,Boulder Flats CDP,H7V001,358,Boulder Flats CDP,408
G56010175,Brookhurst CDP,H7V001,182,Brookhurst CDP,185
G56010685,Buffalo city,H7V001,4510,Buffalo city,4585
G56011120,Burlington town,H7V001,238,Burlington town,288
G56011265,Burns town,H7V001,240,Burns town,301
G56011700,Byron town,H7V001,574,Byron town,593
G56012860,Carpenter CDP,H7V001,142,Carpenter CDP,94
G56013005,Carter CDP,H7V001,32,Carter CDP,10
G56013150,Casper city,H7V001,54587,Casper city,55316
G56013222,Casper Mountain CDP,H7V001,401,Casper Mountain CDP,401
G56013440,Centennial CDP,H7V001,217,Centennial CDP,270
G56013900,Cheyenne city,H7V001,58303,Cheyenne city,59466
G56014097,Chugcreek CDP,H7V001,216,Chugcreek CDP,156
G56014165,Chugwater town,H7V001,120,Chugwater town,212
G56015325,Clearmont town,H7V001,96,Clearmont town,142
G56015400,Clearview Acres CDP,H7V001,858,Clearview Acres CDP,795
G56015760,Cody city,H7V001,9468,Cody city,9520
G56015905,Cokeville town,H7V001,415,Cokeville town,535
G56017210,Cora CDP,H7V001,90,Cora CDP,142
G56017645,Cowley town,H7V001,537,Cowley town,655
G56018225,Crowheart CDP,H7V001,198,Crowheart CDP,141
G56018950,Daniel CDP,H7V001,141,Daniel CDP,150
G56019385,Dayton town,H7V001,563,Dayton town,757
G56019530,Deaver town,H7V001,167,Deaver town,178
G56020110,Diamondville town,H7V001,810,Diamondville town,737
G56020690,Dixon town,H7V001,177,Dixon town,97
G56021125,Douglas city,H7V001,5902,Douglas city,6120
G56021415,Dubois town,H7V001,812,Dubois town,971
G56022720,East Thermopolis town,H7V001,186,East Thermopolis town,254
G56023010,Eden CDP,H7V001,200,Eden CDP,281
G56023155,Edgerton town,H7V001,345,Edgerton town,195
G56024025,Elk Mountain town,H7V001,151,Elk Mountain town,191
G56024750,Encampment town,H7V001,470,Encampment town,450
G56025185,Esterbrook CDP,H7V001,106,Esterbrook CDP,52
G56025330,Ethete CDP,H7V001,1560,Ethete CDP,1553
G56025475,Etna CDP,H7V001,108,Etna CDP,164
G56025620,Evanston city,H7V001,11976,Evanston city,12359
G56025765,Evansville town,H7V001,2502,Evansville town,2544
G56025910,Fairview CDP,H7V001,288,Fairview CDP,275
G56026055,Farson CDP,H7V001,252,Farson CDP,313
G56027650,Fontenelle CDP,H7V001,32,Fontenelle CDP,13
G56027940,Fort Bridger CDP,H7V001,330,Fort Bridger CDP,345
G56028230,Fort Laramie town,H7V001,212,Fort Laramie town,230
G56028665,Fort Washakie CDP,H7V001,1584,Fort Washakie CDP,1759
G56029300,Fox Farm-College CDP,H7V001,3598,Fox Farm-College CDP,3647
G56029390,Fox Park CDP,H7V001,20,Fox Park CDP,22
G56029825,Frannie town,H7V001,114,Frannie town,157
G56030115,Freedom CDP,H7V001,184,Freedom CDP,214
G56030985,Garland CDP,H7V001,169,Garland CDP,115
G56031855,Gillette city,H7V001,28559,Gillette city,29087
G56032290,Glendo town,H7V001,163,Glendo town,205
G56032435,Glenrock town,H7V001,2601,Glenrock town,2576
G56032870,Granger town,H7V001,174,Granger town,139
G56033740,Green River city,H7V001,12257,Green River city,12515
G56033885,Greybull town,H7V001,1840,Greybull town,1847
G56034030,Grover CDP,H7V001,131,Grover CDP,147
G56034320,Guernsey town,H7V001,1047,Guernsey town,1147
G56035335,Hanna town,H7V001,685,Hanna town,841
G56035552,Hartrandt CDP,H7V001,705,Hartrandt CDP,693
G56035625,Hartville town,H7V001,44,Hartville town,62
G56036060,Hawk Springs CDP,H7V001,87,Hawk Springs CDP,45
G56037510,Hillsdale CDP,H7V001,75,Hillsdale CDP,47
G56037727,Hill View Heights CDP,H7V001,102,Hill View Heights CDP,170
G56037945,Hoback CDP,H7V001,1025,Hoback CDP,1176
G56038307,Homa Hills CDP,H7V001,327,Homa Hills CDP,278
G56038960,Hudson town,H7V001,322,Hudson town,458
G56039105,Hulett town,H7V001,333,Hulett town,383
G56039250,Huntley CDP,H7V001,7,Huntley CDP,30
G56039395,Hyattville CDP,H7V001,93,Hyattville CDP,75
G56040120,Jackson town,H7V001,9178,Jackson town,9577
G56040265,James Town CDP,H7V001,560,James Town CDP,536
G56040555,Jeffrey City CDP,H7V001,76,Jeffrey City CDP,58
G56040945,Johnstown CDP,H7V001,290,Johnstown CDP,242
G56041353,Kaycee town,H7V001,250,Kaycee town,263
G56041860,Kelly CDP,H7V001,134,Kelly CDP,138
G56042005,Kemmerer city,H7V001,2659,Kemmerer city,2656
G56042730,Kirby town,H7V001,109,Kirby town,92
G56043455,La Barge town,H7V001,506,La Barge town,551
G56043745,La Grange town,H7V001,509,La Grange town,448
G56044252,Lakeview North CDP,H7V001,71,Lakeview North CDP,84
G56044615,Lance Creek CDP,H7V001,118,Lance Creek CDP,43
G56044760,Lander city,H7V001,7231,Lander city,7487
G56045050,Laramie city,H7V001,30666,Laramie city,30816
G56046790,Lingle town,H7V001,486,Lingle town,468
G56046935,Little America CDP,H7V001,66,Little America CDP,68
G56047370,Lonetree CDP,H7V001,90,Lonetree CDP,49
G56047805,Lost Springs town,H7V001,0,Lost Springs town,4
G56047950,Lovell town,H7V001,2257,Lovell town,2360
G56048240,Lucerne CDP,H7V001,430,Lucerne CDP,535
G56048530,Lusk town,H7V001,1592,Lusk town,1567
G56048675,Lyman town,H7V001,2166,Lyman town,2115
G56049400,McKinnon CDP,H7V001,70,McKinnon CDP,60
G56049775,Mammoth CDP,H7V001,163,Mammoth CDP,263
G56049980,Manderson town,H7V001,69,Manderson town,114
G56050270,Manville town,H7V001,22,Manville town,95
G56050415,Marbleton town,H7V001,1202,Marbleton town,1094
G56051285,Meadow Acres CDP,H7V001,152,Meadow Acres CDP,198
G56051575,Medicine Bow town,H7V001,222,Medicine Bow town,284
G56051720,Meeteetse town,H7V001,310,Meeteetse town,327
G56052445,Midwest town,H7V001,314,Midwest town,404
G56053460,Mills town,H7V001,3490,Mills town,3461
G56054185,Moorcroft town,H7V001,1053,Moorcroft town,1009
G56054402,Moose Wilson Road CDP,H7V001,1829,Moose Wilson Road CDP,1821
G56055200,Mountain View CDP,H7V001,140,Mountain View CDP,96
G56055345,Mountain View town,H7V001,1284,Mountain View town,1286
G56056215,Newcastle city,H7V001,3436,Newcastle city,3532
G56056520,Nordic CDP,H7V001,564,Nordic CDP,602
G56056700,North Rock Springs CDP,H7V001,2216,North Rock Springs CDP,2207
G56057375,Oakley CDP,H7V001,67,Oakley CDP,49
G56057810,Opal town,H7V001,132,Opal town,96
G56058100,Orin CDP,H7V001,50,Orin CDP,46
G56058680,Osage CDP,H7V001,193,Osage CDP,208
G56058970,Osmond CDP,H7V001,371,Osmond CDP,397
G56059332,Owl Creek CDP,H7V001,5,Owl Creek CDP,5
G56059985,Parkman CDP,H7V001,136,Parkman CDP,151
G56060130,Pavillion town,H7V001,192,Pavillion town,231
G56061435,Pine Bluffs town,H7V001,1029,Pine Bluffs town,1129
G56061580,Pinedale town,H7V001,1869,Pinedale town,2030
G56061610,Pine Haven town,H7V001,430,Pine Haven town,490
G56062305,Powder River CDP,H7V001,49,Powder River CDP,44
G56062450,Powell city,H7V001,6321,Powell city,6314
G56062812,Purple Sage CDP,H7V001,553,Purple Sage CDP,535
G56063100,Rafter J Ranch CDP,H7V001,1099,Rafter J Ranch CDP,1075
G56063465,Ralston CDP,H7V001,235,Ralston CDP,280
G56063755,Ranchester town,H7V001,755,Ranchester town,855
G56063800,Ranchettes CDP,H7V001,6035,Ranchettes CDP,5798
G56063900,Rawlins city,H7V001,9195,Rawlins city,9259
G56064400,Red Butte CDP,H7V001,595,Red Butte CDP,449
G56065060,Reliance CDP,H7V001,799,Reliance CDP,714
G56066075,Riverside town,H7V001,40,Riverside town,52
G56066220,Riverton city,H7V001,10248,Riverton city,10615
G56066655,Robertson CDP,H7V001,108,Robertson CDP,97
G56067090,Rock River town,H7V001,142,Rock River town,245
